hotel_type,booking_status,advance_booking_days,arrival_year,arrival_month,arrival_week,arrival_day,weekend_nights,weekday_nights,num_adults,num_children,num_infants,meal_plan,guest_country,booking_segment,booking_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room,assigned_room,modifications,deposit_type,travel_agent_id,corporate_id,waiting_days,customer_category,avg_daily_rate,parking_spaces,special_requests,reservation_status,reservation_date,total_stay_nights,booking_season,family_booking,total_guests,is_long_stay,total_revenue,occupancy_rate,weekend_ratio,cancellation_risk
Urban Hotel,True,131,2017,February,9,27,2,5,2,0.0,0,SB,BRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,88.4,0,1,Cancelled,27-01-2017,7,Winter,False,2.0,True,618.8000000000001,0.5,0.285673475217826,High
Urban Hotel,False,256,2016,August,36,31,0,4,2,0.0,0,SB,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular-Party,90.95,0,0,Checked-Out,04-09-2016,4,Summer,False,2.0,False,363.8,0.5,0.0,High
Urban Hotel,False,11,2015,December,50,11,0,2,2,1.0,1,SB,PRT,Complementary,Direct,False,0,0,G,G,0,No Deposit,,Not Applicable,0,Regular,103.84,0,3,Checked-Out,13-12-2015,2,Winter,True,4.0,False,207.68,0.75,0.0,Low
Urban Hotel,True,38,2017,April,14,3,1,1,1,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,No Deposit,37.0,Not Applicable,0,Regular-Party,6.0,0,0,Cancelled,24-02-2017,2,Spring,False,1.0,False,12.0,0.25,0.49975012493753124,Medium
Urban Hotel,False,104,2016,May,22,23,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,116.1,0,1,Checked-Out,25-05-2016,2,Spring,False,2.0,False,232.2,0.5,0.49975012493753124,High
Urban Hotel,False,70,2017,February,7,15,0,4,2,0.0,0,SB,ESP,Group Bookings,TA/TO,False,0,0,A,A,0,No Deposit,,242.0,0,Regular-Party,78.0,0,0,Checked-Out,19-02-2017,4,Winter,False,2.0,False,312.0,0.5,0.0,Medium
Luxury Resort,True,119,2016,August,33,8,3,6,2,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,206.78,0,0,Cancelled,12-04-2016,9,Summer,False,2.0,True,1861.02,0.5,0.33329630041106545,High
Urban Hotel,True,605,2016,October,43,17,1,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,Non Refund,1.0,Not Applicable,0,Regular,60.0,0,0,Cancelled,20-09-2016,3,Autumn,False,2.0,False,180.0,0.5,0.33322225924691773,
Urban Hotel,False,44,2016,November,47,14,1,4,2,0.0,0,SB,FRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,88.4,0,2,Checked-Out,19-11-2016,5,Autumn,False,2.0,False,442.0,0.5,0.1999600079984003,Medium
Luxury Resort,False,26,2016,November,45,2,0,3,2,0.0,0,SB,Unknown,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,57.0,Not Applicable,0,Regular,30.6,0,0,Checked-Out,05-11-2016,3,Autumn,False,2.0,False,91.80000000000001,0.5,0.0,Low
Urban Hotel,False,8,2016,September,39,21,0,2,1,0.0,0,SB,PRT,Corporate,Corporate,False,0,0,D,D,0,No Deposit,,304.0,0,Regular-Party,169.38,0,0,Checked-Out,23-09-2016,2,Autumn,False,1.0,False,338.76,0.25,0.0,Low
Urban Hotel,True,160,2016,May,22,23,1,4,2,0.0,0,SB,FIN,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,107.61,0,1,Cancelled,21-01-2016,5,Spring,False,2.0,False,538.05,0.5,0.1999600079984003,High
Urban Hotel,False,68,2016,December,50,8,1,3,2,0.0,0,SB,ITA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,88.4,0,1,Checked-Out,12-12-2016,4,Winter,False,2.0,False,353.6,0.5,0.2499375156210947,Medium
Urban Hotel,False,9,2015,December,52,25,2,3,2,0.0,0,SB,THA,Online TA,TA/TO,False,0,0,E,E,0,No Deposit,11.0,Not Applicable,0,Regular,98.64,0,0,Checked-Out,30-12-2015,5,Winter,False,2.0,False,493.2,0.5,0.3999200159968006,Low
Urban Hotel,False,26,2017,June,26,27,0,2,1,0.0,0,SC,GBR,Offline TA/TO,TA/TO,False,0,0,A,A,1,No Deposit,15.0,Not Applicable,0,Regular,87.6,0,0,Checked-Out,29-06-2017,2,Summer,False,1.0,False,175.2,0.25,0.0,Low
Urban Hotel,True,368,2017,June,26,28,0,3,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,Non Refund,229.0,Not Applicable,0,Regular,90.0,0,0,Cancelled,06-06-2017,3,Summer,False,2.0,False,270.0,0.5,0.0,
Luxury Resort,False,2,2017,June,26,27,0,2,2,0.0,0,SB,Unknown,Direct,TA/TO,True,0,1,A,A,0,No Deposit,250.0,Not Applicable,0,Regular,149.0,1,1,Checked-Out,29-06-2017,2,Summer,False,2.0,False,298.0,0.5,0.0,Very Low
Luxury Resort,False,74,2017,February,8,25,6,15,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,False,0,0,D,E,1,No Deposit,363.0,Not Applicable,0,Regular,79.14,0,1,Checked-Out,18-03-2017,21,Winter,False,2.0,True,1661.94,0.5,0.28570068091995615,Medium
Luxury Resort,False,36,2016,November,47,19,2,2,1,0.0,0,HB,IRL,Direct,Direct,False,0,0,G,G,1,No Deposit,250.0,Not Applicable,0,Regular,94.2,0,0,Checked-Out,23-11-2016,4,Autumn,False,1.0,False,376.8,0.25,0.4998750312421894,Medium
Luxury Resort,False,0,2017,July,28,12,0,1,2,0.0,0,SB,FRA,Direct,Direct,False,0,0,C,C,0,No Deposit,,Not Applicable,0,Regular,154.0,1,0,Checked-Out,13-07-2017,1,Summer,False,2.0,False,154.0,0.5,0.0,
Luxury Resort,False,3,2015,December,50,11,0,1,2,0.0,0,SB,BRA,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,48.0,0,0,Checked-Out,12-12-2015,1,Winter,False,2.0,False,48.0,0.5,0.0,Very Low
Urban Hotel,False,25,2015,November,48,22,2,3,2,0.0,0,SB,FRA,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,12.0,Not Applicable,0,Regular-Party,65.0,0,0,Checked-Out,27-11-2015,5,Autumn,False,2.0,False,325.0,0.5,0.3999200159968006,Low
Luxury Resort,False,2,2017,August,33,16,0,2,1,0.0,0,HB,PRT,Direct,Direct,False,0,0,E,E,1,No Deposit,250.0,Not Applicable,0,Regular-Party,238.3,0,1,Checked-Out,18-08-2017,2,Summer,False,1.0,False,476.6,0.25,0.0,Very Low
Luxury Resort,False,0,2017,January,1,2,1,0,2,0.0,0,SB,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,48.0,0,0,Checked-Out,03-01-2017,1,Winter,False,2.0,False,48.0,0.5,0.9990009990009991,
Urban Hotel,False,3,2017,August,33,19,1,1,2,0.0,0,SB,PRT,Direct,Direct,False,0,0,D,D,0,No Deposit,14.0,Not Applicable,0,Regular,139.0,0,0,Checked-Out,21-08-2017,2,Summer,False,2.0,False,278.0,0.5,0.49975012493753124,Very Low
Luxury Resort,True,10,2017,April,14,3,1,1,1,0.0,0,SB,PRT,Corporate,Corporate,False,0,0,A,D,0,Non Refund,,135.0,0,Regular,45.0,0,0,Cancelled,03-04-2017,2,Spring,False,1.0,False,90.0,0.25,0.49975012493753124,Low
Urban Hotel,True,275,2016,April,17,17,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,Non Refund,12.0,Not Applicable,0,Regular,110.0,0,0,Cancelled,04-08-2015,2,Spring,False,2.0,False,220.0,0.5,0.9995002498750625,High
Urban Hotel,False,147,2017,May,18,4,0,3,2,0.0,0,SB,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,126.0,0,2,Checked-Out,07-05-2017,3,Spring,False,2.0,False,378.0,0.5,0.0,High
Urban Hotel,False,111,2017,August,34,24,0,2,3,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,D,D,1,No Deposit,9.0,Not Applicable,0,Regular,195.0,0,2,Checked-Out,26-08-2017,2,Summer,False,3.0,False,390.0,0.75,0.0,High
Urban Hotel,False,18,2015,December,49,4,1,2,1,0.0,0,SB,ESP,Online TA,TA/TO,False,0,0,A,D,0,No Deposit,9.0,Not Applicable,0,Corporate Contract,118.67,0,0,Checked-Out,07-12-2015,3,Winter,False,1.0,False,356.01,0.25,0.33322225924691773,Low
Luxury Resort,True,189,2017,July,31,31,2,5,3,0.0,0,SB,FRA,Direct,Direct,False,0,0,A,A,0,No Deposit,250.0,Not Applicable,0,Regular,79.49,0,1,Cancelled,06-03-2017,7,Summer,False,3.0,True,556.43,0.75,0.285673475217826,High
Luxury Resort,True,2,2016,February,8,19,0,2,2,0.0,0,HB,PRT,Online TA,TA/TO,False,0,0,A,D,0,No Deposit,240.0,Not Applicable,0,Regular,80.0,0,0,Cancelled,18-02-2016,2,Winter,False,2.0,False,160.0,0.5,0.0,Very Low
Urban Hotel,False,19,2017,May,21,26,0,1,2,1.0,0,SB,PRT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,42.0,Not Applicable,0,Regular,160.0,0,0,Checked-Out,27-05-2017,1,Spring,True,3.0,False,160.0,0.75,0.0,Low
Urban Hotel,False,14,2015,December,49,5,2,1,2,0.0,0,SB,ESP,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,85.0,Not Applicable,0,Regular-Party,64.0,0,0,Checked-Out,08-12-2015,3,Winter,False,2.0,False,192.0,0.5,0.6664445184938355,Low
Urban Hotel,True,10,2016,August,35,24,0,1,2,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,140.0,0,3,Cancelled,21-08-2016,1,Summer,False,2.0,False,140.0,0.5,0.0,Low
Luxury Resort,False,0,2016,July,29,14,0,2,1,0.0,0,SB,NLD,Direct,Direct,False,0,0,A,A,1,No Deposit,,Not Applicable,0,Regular,146.0,0,0,Checked-Out,16-07-2016,2,Summer,False,1.0,False,292.0,0.25,0.0,
Luxury Resort,True,232,2016,August,36,31,2,6,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,111.94,0,0,Cancelled,13-06-2016,8,Summer,False,2.0,True,895.52,0.5,0.2499687539057618,High
Luxury Resort,True,8,2015,December,49,3,0,1,1,0.0,0,SB,PRT,Direct,Direct,False,1,0,E,E,0,No Deposit,,Not Applicable,0,Regular,58.0,0,0,Cancelled,30-11-2015,1,Winter,False,1.0,False,58.0,0.25,0.0,Low
Urban Hotel,False,163,2016,October,44,23,2,3,1,1.0,0,SB,NLD,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,74.65,0,2,Checked-Out,28-10-2016,5,Autumn,True,2.0,False,373.25,0.5,0.3999200159968006,High
Urban Hotel,True,49,2017,March,10,9,0,3,3,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,142.2,0,0,Cancelled,19-01-2017,3,Spring,False,3.0,False,426.59999999999997,0.75,0.0,Medium
Urban Hotel,False,179,2017,July,30,25,2,5,3,0.0,0,SC,GBR,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,6.0,Not Applicable,0,Regular,93.6,0,1,Checked-Out,01-08-2017,7,Summer,False,3.0,True,655.1999999999999,0.75,0.285673475217826,High
Urban Hotel,True,42,2017,June,22,2,2,3,2,0.0,0,SC,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,140.0,0,1,Cancelled,21-04-2017,5,Summer,False,2.0,False,700.0,0.5,0.3999200159968006,Medium
Luxury Resort,False,0,2016,February,8,15,1,3,1,0.0,0,SB,PRT,Corporate,Corporate,True,0,2,A,D,0,No Deposit,,Not Applicable,0,Regular,79.49,0,0,Checked-Out,19-02-2016,4,Winter,False,1.0,False,317.96,0.25,0.2499375156210947,
Urban Hotel,False,51,2017,March,9,2,0,2,2,0.0,0,SC,NLD,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,8.0,Not Applicable,0,Regular,100.0,0,1,Checked-Out,04-03-2017,2,Spring,False,2.0,False,200.0,0.5,0.0,Medium
Urban Hotel,False,25,2016,April,17,17,2,3,2,0.0,0,SB,UKR,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,109.4,0,1,Checked-Out,22-04-2016,5,Spring,False,2.0,False,547.0,0.5,0.3999200159968006,Low
Urban Hotel,False,13,2016,June,26,20,1,3,2,0.0,0,SB,HRV,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,131.0,0,1,Checked-Out,24-06-2016,4,Summer,False,2.0,False,524.0,0.5,0.2499375156210947,Low
Luxury Resort,True,172,2017,April,17,29,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,False,0,0,D,D,1,No Deposit,314.0,Not Applicable,0,Regular,86.91,0,0,Cancelled,27-12-2016,7,Spring,False,2.0,True,608.37,0.5,0.285673475217826,High
Urban Hotel,False,1,2016,February,9,27,1,1,2,0.0,0,SB,ESP,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular,117.0,0,0,Checked-Out,29-02-2016,2,Winter,False,2.0,False,234.0,0.5,0.49975012493753124,Very Low
Urban Hotel,True,75,2015,November,47,15,1,0,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Corporate Contract,72.25,0,2,Cancelled,31-10-2015,1,Autumn,False,2.0,False,72.25,0.5,0.9990009990009991,Medium
Luxury Resort,False,1,2016,June,26,24,0,0,1,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,79.49,0,0,Checked-Out,24-06-2016,0,Summer,False,1.0,False,0.0,0.25,0.0,Very Low
Urban Hotel,False,97,2015,October,41,7,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,No Deposit,1.0,Not Applicable,0,Regular-Party,103.84,0,0,Checked-Out,09-10-2015,2,Autumn,False,2.0,False,207.68,0.5,0.0,High
Urban Hotel,True,422,2017,June,24,13,0,1,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,Non Refund,229.0,Not Applicable,0,Regular,90.0,0,0,Cancelled,05-05-2017,1,Summer,False,2.0,False,90.0,0.5,0.0,
Urban Hotel,False,114,2017,May,19,11,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,120.0,0,1,Checked-Out,14-05-2017,3,Spring,False,2.0,False,360.0,0.5,0.0,High
Urban Hotel,False,37,2016,March,13,23,0,4,2,0.0,1,SC,ESP,Offline TA/TO,TA/TO,False,0,0,A,A,1,No Deposit,138.0,Not Applicable,0,Regular,64.8,0,1,Checked-Out,27-03-2016,4,Spring,True,3.0,False,259.2,0.5,0.0,Medium
Urban Hotel,True,18,2016,January,3,14,4,10,1,0.0,0,SC,AGO,Direct,Direct,False,0,0,A,A,0,No Deposit,14.0,Not Applicable,0,Regular,76.0,0,0,No-Show,14-01-2016,14,Winter,False,1.0,True,1064.0,0.25,0.28569387900864224,Low
Luxury Resort,False,0,2016,April,18,26,0,3,1,0.0,0,SB,PRT,Corporate,Corporate,True,0,4,A,C,0,No Deposit,,384.0,0,Regular,42.0,0,1,Checked-Out,29-04-2016,3,Spring,False,1.0,False,126.0,0.25,0.0,
Urban Hotel,False,99,2017,June,25,19,1,3,2,0.0,0,SB,GBR,Direct,Direct,False,0,0,A,A,0,No Deposit,14.0,Not Applicable,0,Regular,126.0,0,0,Checked-Out,23-06-2017,4,Summer,False,2.0,False,504.0,0.5,0.2499375156210947,High
Urban Hotel,False,62,2016,July,30,23,1,1,2,1.0,0,HB,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,173.25,1,2,Checked-Out,25-07-2016,2,Summer,True,3.0,False,346.5,0.75,0.49975012493753124,Medium
Urban Hotel,False,44,2016,March,14,31,0,1,1,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,D,G,1,No Deposit,9.0,Not Applicable,0,Regular,104.4,0,1,Checked-Out,01-04-2016,1,Spring,False,1.0,False,104.4,0.25,0.0,Medium
Urban Hotel,False,35,2016,April,17,18,1,1,3,0.0,0,SB,THA,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,137.7,0,2,Checked-Out,20-04-2016,2,Spring,False,3.0,False,275.4,0.75,0.49975012493753124,Medium
Urban Hotel,False,39,2016,July,27,1,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,107.1,0,1,Checked-Out,02-07-2016,1,Summer,False,2.0,False,107.1,0.5,0.0,Medium
Urban Hotel,False,69,2015,September,37,9,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,No Deposit,1.0,Not Applicable,0,Regular-Party,62.0,0,0,Checked-Out,11-09-2015,2,Autumn,False,2.0,False,124.0,0.5,0.0,Medium
Luxury Resort,True,60,2017,March,13,28,2,5,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,95.0,Not Applicable,0,Regular,37.95,0,0,Cancelled,14-02-2017,7,Spring,False,2.0,True,265.65000000000003,0.5,0.285673475217826,Medium
Luxury Resort,False,153,2015,October,44,29,2,3,2,0.0,0,SB,PRT,Group Bookings,Direct,False,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular-Party,36.0,0,0,Checked-Out,03-11-2015,5,Autumn,False,2.0,False,180.0,0.5,0.3999200159968006,High
Luxury Resort,False,7,2016,November,47,16,0,4,2,0.0,0,SB,GBR,Offline TA/TO,TA/TO,False,0,0,D,D,0,No Deposit,177.0,Not Applicable,0,Regular,48.25,0,3,Checked-Out,20-11-2016,4,Autumn,False,2.0,False,193.0,0.5,0.0,Very Low
Urban Hotel,False,0,2016,August,35,24,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,False,0,0,A,D,0,No Deposit,152.0,Not Applicable,0,Regular,73.07,0,0,Checked-Out,25-08-2016,1,Summer,False,2.0,False,73.07,0.5,0.0,
Urban Hotel,True,105,2017,May,19,13,1,1,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,135.0,0,0,Cancelled,03-05-2017,2,Spring,False,2.0,False,270.0,0.5,0.49975012493753124,High
Urban Hotel,True,34,2016,June,26,19,2,1,2,0.0,0,SB,ESP,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,122.4,0,0,Cancelled,18-05-2016,3,Summer,False,2.0,False,367.20000000000005,0.5,0.6664445184938355,Medium
Urban Hotel,True,53,2016,September,40,26,1,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,Non Refund,37.0,Not Applicable,0,Regular,105.0,0,0,Cancelled,30-08-2016,3,Autumn,False,2.0,False,315.0,0.5,0.33322225924691773,Medium
Luxury Resort,False,45,2017,February,8,25,2,1,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,E,E,1,No Deposit,240.0,Not Applicable,0,Regular,75.0,1,3,Checked-Out,28-02-2017,3,Winter,False,2.0,False,225.0,0.5,0.6664445184938355,Medium
Urban Hotel,False,63,2016,September,36,1,1,3,3,0.0,0,SB,ESP,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,142.2,0,2,Checked-Out,05-09-2016,4,Autumn,False,3.0,False,568.8,0.75,0.2499375156210947,Medium
Urban Hotel,False,13,2016,February,8,16,0,1,1,0.0,0,SB,ESP,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,85.0,0,0,Checked-Out,17-02-2016,1,Winter,False,1.0,False,85.0,0.25,0.0,Low
Urban Hotel,True,146,2016,March,14,30,0,3,1,0.0,0,SB,Unknown,Offline TA/TO,TA/TO,False,1,0,A,A,0,Non Refund,86.0,Not Applicable,28,Regular,80.0,0,0,Cancelled,03-12-2015,3,Spring,False,1.0,False,240.0,0.25,0.0,High
Luxury Resort,False,154,2017,June,26,29,0,3,2,0.0,0,SB,IRL,Online TA,TA/TO,False,0,0,A,A,1,No Deposit,240.0,Not Applicable,0,Regular,120.0,0,1,Checked-Out,02-07-2017,3,Summer,False,2.0,False,360.0,0.5,0.0,High
Urban Hotel,False,60,2017,April,14,8,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,160.2,0,1,Checked-Out,12-04-2017,4,Spring,False,2.0,False,640.8,0.5,0.4998750312421894,Medium
Urban Hotel,False,0,2017,February,8,25,0,1,2,0.0,0,SC,ITA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,107.0,1,2,Checked-Out,26-02-2017,1,Winter,False,2.0,False,107.0,0.5,0.0,
Urban Hotel,True,28,2015,October,44,29,0,1,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,False,1,0,A,A,0,No Deposit,98.0,Not Applicable,0,Regular-Party,130.0,0,0,Cancelled,23-10-2015,1,Autumn,False,1.0,False,130.0,0.25,0.0,Low
Urban Hotel,True,119,2016,October,44,27,0,3,2,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,103.84,0,1,Cancelled,19-09-2016,3,Autumn,False,2.0,False,311.52,0.5,0.0,High
Urban Hotel,False,204,2017,July,30,29,2,5,2,0.0,0,SB,DEU,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,22.0,Not Applicable,0,Regular,75.65,0,0,Checked-Out,05-08-2017,7,Summer,False,2.0,True,529.5500000000001,0.5,0.285673475217826,High
Luxury Resort,False,183,2017,July,27,8,2,5,2,0.0,0,HB,GBR,Online TA,TA/TO,False,0,0,A,A,1,No Deposit,314.0,Not Applicable,0,Regular,125.17,0,0,Checked-Out,15-07-2017,7,Summer,False,2.0,True,876.19,0.5,0.285673475217826,High
Urban Hotel,False,4,2016,February,7,13,0,1,2,0.0,0,SB,PRT,Direct,Direct,False,0,0,D,D,0,No Deposit,14.0,Not Applicable,0,Regular,95.0,0,2,Checked-Out,14-02-2016,1,Winter,False,2.0,False,95.0,0.5,0.0,Very Low
Luxury Resort,False,50,2015,July,29,12,2,3,2,0.0,0,SB,ESP,Offline TA/TO,TA/TO,False,0,0,D,D,0,No Deposit,156.0,Not Applicable,0,Corporate Contract,123.0,0,0,Checked-Out,17-07-2015,5,Summer,False,2.0,False,615.0,0.5,0.3999200159968006,Medium
Urban Hotel,False,185,2017,August,33,16,0,3,2,1.0,0,SB,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,148.5,0,1,Checked-Out,19-08-2017,3,Summer,True,3.0,False,445.5,0.75,0.0,High
Urban Hotel,False,8,2016,November,48,24,0,1,2,0.0,0,SB,PRT,Direct,Direct,False,0,0,A,A,1,No Deposit,14.0,Not Applicable,0,Regular,98.0,0,2,Checked-Out,25-11-2016,1,Autumn,False,2.0,False,98.0,0.5,0.0,Low
Urban Hotel,True,140,2015,December,53,29,0,5,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,Non Refund,3.0,Not Applicable,0,Regular,70.0,0,0,Cancelled,19-10-2015,5,Winter,False,2.0,False,350.0,0.5,0.0,High
Luxury Resort,False,126,2016,September,37,10,2,4,2,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,A,A,1,No Deposit,240.0,Not Applicable,0,Regular,130.67,0,2,Checked-Out,16-09-2016,6,Autumn,False,2.0,False,784.02,0.5,0.33327778703549404,High
Luxury Resort,False,19,2015,December,52,21,1,2,2,0.0,0,SB,FRA,Online TA,TA/TO,False,0,0,A,D,2,No Deposit,240.0,Not Applicable,0,Regular,56.33,1,0,Checked-Out,24-12-2015,3,Winter,False,2.0,False,168.99,0.5,0.33322225924691773,Low
Urban Hotel,False,26,2017,April,16,19,0,1,2,0.0,0,SC,BRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,114.0,0,2,Checked-Out,20-04-2017,1,Spring,False,2.0,False,114.0,0.5,0.0,Low
Urban Hotel,False,59,2016,March,14,31,0,3,2,0.0,0,SB,AUT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,90.9,0,1,Checked-Out,03-04-2016,3,Spring,False,2.0,False,272.70000000000005,0.5,0.0,Medium
Urban Hotel,True,130,2016,April,16,13,0,4,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,1,0,A,A,0,Non Refund,29.0,Not Applicable,10,Regular,100.0,0,0,Cancelled,15-12-2015,4,Spring,False,2.0,False,400.0,0.5,0.0,High
Urban Hotel,False,5,2015,October,42,12,1,1,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,No Deposit,1.0,Not Applicable,0,Regular-Party,138.0,0,0,Checked-Out,14-10-2015,2,Autumn,False,2.0,False,276.0,0.5,0.49975012493753124,Very Low
Urban Hotel,True,196,2016,August,36,30,0,3,2,0.0,0,SC,CN,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,85.5,0,0,Cancelled,15-07-2016,3,Summer,False,2.0,False,256.5,0.5,0.0,High
Urban Hotel,True,198,2015,December,49,5,2,1,2,0.0,0,HB,ESP,Group Bookings,TA/TO,False,0,0,A,A,0,Non Refund,1.0,Not Applicable,0,Regular,90.0,0,0,Cancelled,23-10-2015,3,Winter,False,2.0,False,270.0,0.5,0.6664445184938355,High
Urban Hotel,False,0,2015,August,35,26,0,1,3,0.0,0,SB,PRT,Direct,Direct,False,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular,151.0,0,0,Checked-Out,27-08-2015,1,Summer,False,3.0,False,151.0,0.75,0.0,
Urban Hotel,False,2,2016,March,13,20,2,4,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,220.0,Not Applicable,0,Regular-Party,85.0,0,0,Checked-Out,26-03-2016,6,Spring,False,2.0,False,510.0,0.5,0.33327778703549404,Very Low
Luxury Resort,False,386,2016,October,43,20,1,3,2,0.0,0,SB,GBR,Group Bookings,Corporate,False,0,0,A,A,2,No Deposit,,Not Applicable,0,Regular-Party,49.0,0,0,Checked-Out,24-10-2016,4,Autumn,False,2.0,False,196.0,0.5,0.2499375156210947,
Urban Hotel,True,272,2016,August,32,5,0,1,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,1,0,A,A,0,Non Refund,1.0,Not Applicable,41,Regular,65.0,0,0,Cancelled,18-12-2015,1,Summer,False,2.0,False,65.0,0.5,0.0,High
Urban Hotel,False,150,2017,August,32,9,0,3,2,1.0,0,SB,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,157.5,0,1,Checked-Out,12-08-2017,3,Summer,True,3.0,False,472.5,0.75,0.0,High
